# Address,Data
0,00h
1,00h
2,00h
3,00h
4,00h
5,00h
6,1Dh
7,00h
8,00h
9,00h
10,00h
11,00h
12,00h
13,00h
14,00h
15,00h
16,00h
17,00h
18,00h
19,00h
20,00h
21,00h
22,00h
23,00h
24,00h
25,00h
26,00h
27,80h
28,FFh
29,FFh
30,FFh
31,FFh
32,FFh
33,FFh
34,FFh
35,FFh
36,1Fh
37,1Fh
38,1Fh
39,1Fh
40,FFh
41,7Fh
42,3Fh
43,00h
44,00h
45,FFh
46,FFh
47,FFh
48,FFh
49,FFh
50,FFh
51,FFh
52,7Fh
53,FFh
54,FFh
55,FFh
56,FFh
57,FFh
58,FFh
59,FFh
60,FFh
61,FFh
62,3Fh
63,7Fh
64,FFh
65,FFh
66,FFh
67,FFh
68,FFh
69,FFh
70,FFh
71,FFh
72,FFh
73,3Fh
74,7Fh
75,FFh
76,FFh
77,FFh
78,FFh
79,FFh
80,FFh
81,FFh
82,FFh
83,FFh
84,3Fh
85,7Fh
86,FFh
87,FFh
88,FFh
89,FFh
90,FFh
91,FFh
92,FFh
93,FFh
94,FFh
95,3Fh
96,00h
97,FFh
98,FFh
99,FFh
100,FFh
101,FFh
102,FFh
103,FFh
104,FFh
105,FFh
106,BFh
107,FFh
108,7Fh
109,FFh
110,FFh
111,FFh
112,7Fh
113,FFh
114,FFh
115,FFh
116,FFh
117,FFh
118,FFh
119,FFh
120,FFh
121,FFh
122,FFh
123,FFh
124,FFh
125,FFh
126,FFh
127,FFh
128,FFh
129,0Fh
130,0Fh
131,FFh
132,FFh
133,FFh
134,FFh
135,FFh
136,FFh
137,FFh
138,FFh
139,FFh
140,FFh
141,FFh
142,FFh
143,FFh
144,FFh
145,00h
146,00h
147,00h
148,00h
149,00h
150,00h
151,00h
152,FFh
153,FFh
154,FFh
155,FFh
156,FFh
157,FFh
158,0Fh
159,0Fh
160,FFh
161,FFh
162,FFh
163,FFh
164,FFh
165,FFh
166,FFh
167,FFh
168,FFh
169,FFh
170,FFh
171,FFh
172,FFh
173,FFh
174,FFh
175,FFh
176,FFh
177,FFh
178,FFh
179,FFh
180,FFh
181,0Fh
182,FFh
183,FFh
184,FFh
185,FFh
186,FFh
187,FFh
188,FFh
189,FFh
190,FFh
191,FFh
192,FFh
193,FFh
194,FFh
195,FFh
196,FFh
197,FFh
198,FFh
199,FFh
200,FFh
201,FFh
202,FFh
203,0Fh
204,FFh
205,FFh
206,FFh
207,FFh
208,FFh
209,FFh
210,FFh
211,FFh
212,FFh
213,FFh
214,FFh
215,FFh
216,FFh
217,FFh
218,00h
219,00h
220,00h
221,00h
222,00h
223,00h
224,00h
225,00h
226,04h
227,00h
228,00h
229,00h
230,FFh
231,00h
232,00h
233,00h
234,00h
235,00h
236,00h
237,00h
238,00h
239,00h
240,00h
241,FFh
242,02h
243,00h
244,00h
245,00h
246,FFh
247,00h
248,00h
249,00h
250,00h
251,00h
252,00h
253,00h
254,00h
255,FFh
256,00h
257,00h
258,00h
259,00h
260,00h
261,00h
262,00h
263,00h
264,00h
265,00h
266,00h
267,00h
268,00h
269,00h
270,00h
271,00h
272,00h
273,00h
274,00h
275,00h
276,00h
277,00h
278,00h
279,00h
280,00h
281,00h
282,00h
283,00h
284,00h
285,00h
286,00h
287,FFh
288,FFh
289,FFh
290,FFh
291,FFh
292,FFh
293,FFh
294,FFh
295,FFh
296,FFh
297,FFh
298,FFh
299,0Fh
300,00h
301,00h
302,00h
303,FFh
304,FFh
305,FFh
306,FFh
307,FFh
308,FFh
309,FFh
310,FFh
311,FFh
312,FFh
313,FFh
314,FFh
315,0Fh
316,00h
317,00h
318,00h
319,FFh
320,FFh
321,FFh
322,FFh
323,FFh
324,FFh
325,FFh
326,FFh
327,FFh
328,FFh
329,FFh
330,FFh
331,0Fh
332,00h
333,00h
334,00h
335,FFh
336,FFh
337,FFh
338,FFh
339,FFh
340,FFh
341,FFh
342,FFh
343,FFh
344,FFh
345,FFh
346,FFh
347,0Fh
348,00h
349,00h
350,00h
